date,client,platform,campaign,cost,imp,click,cv,budget_monthly,target_cpa
2025-04-01,B社,meta,初売り企画,390,231,2,0,200000,8000
2025-04-01,B社,tiktok,UGC風業態訴求,1507,1457,10,0,80000,8000
2025-04-01,B社,tiktok,季節訴求,399,389,3,0,80000,8000
2025-04-01,C社,google,【PMAX】メイン,4010,741,34,1,600000,6000
2025-04-01,C社,google,【SEM】ブランド,2191,396,14,0,600000,6000
2025-04-01,C社,google,【SEM】車種,1923,375,19,0,600000,6000
2025-04-01,C社,google,【DSP】リターゲ,1751,343,12,0,600000,6000
2025-04-01,C社,google,【動画】月替わり,978,185,9,0,600000,6000
2025-04-01,C社,yahoo,【検索】ブランド,599,71,2,0,180000,6000
2025-04-01,C社,yahoo,【検索】車種,1077,130,4,0,180000,6000
2025-04-01,C社,yahoo,【検索】未使用車,954,125,3,1,180000,6000
2025-04-01,C社,yahoo,【DSP】リターゲ,464,53,1,0,180000,6000
2025-04-01,C社,meta,【Instagram】リマケ,1419,803,7,0,150000,6000
2025-04-01,C社,meta,【Facebook】新規,1021,579,8,0,150000,6000
2025-04-01,C社,meta,初売り企画,311,170,1,0,150000,6000
2025-04-01,C社,tiktok,UGC風業態訴求,738,625,4,0,50000,6000
2025-04-01,C社,tiktok,季節訴求,239,213,1,0,50000,6000
2025-04-01,D社,google,【PMAX】メイン,20234,3416,128,9,1500000,4000
2025-04-01,D社,google,【SEM】ブランド,9378,1746,93,4,1500000,4000
2025-04-01,D社,google,【SEM】車種,9465,1648,84,3,1500000,4000
2025-04-01,D社,google,【DSP】リターゲ,6665,1146,46,1,1500000,4000
2025-04-01,D社,google,【動画】月替わり,4792,924,42,0,1500000,4000
2025-04-01,D社,yahoo,【検索】ブランド,2812,371,12,0,500000,4000
2025-04-01,D社,yahoo,【検索】車種,5118,612,16,0,500000,4000
2025-04-01,D社,yahoo,【検索】未使用車,4230,495,17,0,500000,4000
2025-04-01,D社,yahoo,【DSP】リターゲ,2381,311,11,0,500000,4000
2025-04-01,D社,meta,【Instagram】リマケ,7270,4552,47,1,400000,4000
2025-04-01,D社,meta,【Facebook】新規,4273,2803,34,1,400000,4000
2025-04-01,D社,meta,初売り企画,1316,829,8,1,400000,4000
2025-04-01,D社,tiktok,UGC風業態訴求,3749,3375,30,1,150000,4000
2025-04-01,D社,tiktok,季節訴求,1387,1143,7,0,150000,4000
2025-04-01,E社,google,【PMAX】メイン,2236,416,16,0,400000,10000
2025-04-01,E社,google,【SEM】ブランド,1059,195,8,0,400000,10000
2025-04-01,E社,google,【SEM】車種,1152,225,8,0,400000,10000
2025-04-01,E社,google,【DSP】リターゲ,842,145,6,0,400000,10000
2025-04-01,E社,google,【動画】月替わり,499,89,4,0,400000,10000
2025-04-01,E社,yahoo,【検索】ブランド,394,43,1,0,120000,10000
2025-04-01,E社,yahoo,【検索】車種,669,78,2,0,120000,10000
2025-04-01,E社,yahoo,【検索】未使用車,546,67,2,0,120000,10000
2025-04-01,E社,yahoo,【DSP】リターゲ,242,29,1,0,120000,10000
2025-04-01,E社,meta,【Instagram】リマケ,700,387,3,0,100000,10000
2025-04-01,E社,meta,【Facebook】新規,508,291,3,0,100000,10000
2025-04-01,E社,meta,初売り企画,152,85,1,0,100000,10000
2025-04-01,E社,tiktok,UGC風業態訴求,299,268,2,0,30000,10000
2025-04-01,E社,tiktok,季節訴求,0,0,0,0,30000,10000
2025-04-01,F社,google,【PMAX】メイン,8254,1419,51,2,900000,7000
2025-04-01,F社,google,【SEM】ブランド,4291,780,34,1,900000,7000
2025-04-01,F社,google,【SEM】車種,3879,751,39,1,900000,7000
2025-04-01,F社,google,【DSP】リターゲ,2784,463,19,0,900000,7000
2025-04-01,F社,google,【動画】月替わり,2420,467,24,0,900000,7000
2025-04-01,F社,yahoo,【検索】ブランド,1353,154,3,0,300000,7000
2025-04-01,F社,yahoo,【検索】車種,2687,300,10,0,300000,7000
2025-04-01,F社,yahoo,【検索】未使用車,2541,323,11,0,300000,7000
2025-04-01,F社,yahoo,【DSP】リターゲ,1255,159,5,0,300000,7000
2025-04-01,F社,meta,【Instagram】リマケ,3713,2123,28,0,250000,7000
2025-04-01,F社,meta,【Facebook】新規,1907,1229,16,0,250000,7000
2025-04-01,F社,meta,初売り企画,566,361,4,0,250000,7000
2025-04-01,F社,tiktok,UGC風業態訴求,1395,1330,9,0,80000,7000
2025-04-01,F社,tiktok,季節訴求,449,389,3,0,80000,7000
2025-04-01,G社,google,【PMAX】メイン,13629,2344,111,6,1100000,5500
2025-04-01,G社,google,【SEM】ブランド,6409,1064,56,2,1100000,5500
2025-04-01,G社,google,【SEM】車種,7165,1229,46,1,1100000,5500
2025-04-01,G社,google,【DSP】リターゲ,4545,819,35,0,1100000,5500
2025-04-01,G社,google,【動画】月替わり,2915,546,19,0,1100000,5500
2025-04-01,G社,yahoo,【検索】ブランド,2258,272,8,0,350000,5500
2025-04-01,G社,yahoo,【検索】車種,3052,378,10,1,350000,5500
2025-04-01,G社,yahoo,【検索】未使用車,3317,415,11,1,350000,5500
2025-04-01,G社,yahoo,【DSP】リターゲ,1409,156,4,0,350000,5500
2025-04-01,G社,meta,【Instagram】リマケ,4986,3097,43,1,280000,5500
2025-04-01,G社,meta,【Facebook】新規,2900,1670,20,1,280000,5500
2025-04-01,G社,meta,初売り企画,681,391,4,0,280000,5500
2025-04-01,G社,tiktok,UGC風業態訴求,2636,2445,19,0,120000,5500
2025-04-01,G社,tiktok,季節訴求,784,702,6,0,120000,5500
2025-04-01,H社,google,【PMAX】メイン,5874,987,37,1,700000,9000
2025-04-01,H社,google,【SEM】ブランド,2799,529,25,0,700000,9000
2025-04-01,H社,google,【SEM】車種,2583,420,16,0,700000,9000
2025-04-01,H社,google,【DSP】リターゲ,1936,357,14,0,700000,9000
2025-04-01,H社,google,【動画】月替わり,1417,242,11,0,700000,9000
2025-04-01,H社,yahoo,【検索】ブランド,691,87,2,0,200000,9000
2025-04-01,H社,yahoo,【検索】車種,1615,194,4,0,200000,9000
2025-04-01,H社,yahoo,【検索】未使用車,1344,159,5,1,200000,9000
2025-04-01,H社,yahoo,【DSP】リターゲ,691,89,2,0,200000,9000
2025-04-01,H社,meta,【Instagram】リマケ,2140,1285,17,0,180000,9000
2025-04-01,H社,meta,【Facebook】新規,1296,839,11,0,180000,9000
2025-04-01,H社,meta,初売り企画,362,206,2,0,180000,9000
2025-04-01,H社,tiktok,UGC風業態訴求,950,900,7,0,60000,9000
2025-04-01,H社,tiktok,季節訴求,284,233,1,0,60000,9000
2025-04-02,A社,google,【PMAX】メイン,11681,2026,92,5,1200000,5000
2025-04-02,A社,google,【SEM】ブランド,6308,1036,44,2,1200000,5000
2025-04-02,A社,google,【SEM】車種,6433,1090,47,0,1200000,5000
2025-04-02,A社,google,【DSP】リターゲ,5114,969,41,0,1200000,5000
2025-04-02,A社,google,【動画】月替わり,3153,596,30,0,1200000,5000
2025-04-02,A社,yahoo,【検索】ブランド,2499,295,9,1,400000,5000
2025-04-02,A社,yahoo,【検索】車種,3526,417,10,0,400000,5000
2025-04-02,A社,yahoo,【検索】未使用車,3477,409,10,0,400000,5000
2025-04-02,A社,yahoo,【DSP】リターゲ,1416,166,5,0,400000,5000
2025-04-02,A社,meta,【Instagram】リマケ,3894,2402,24,0,300000,5000
2025-04-02,A社,meta,【Facebook】新規,2854,1558,17,1,300000,5000
2025-04-02,A社,meta,初売り企画,754,436,5,0,300000,5000
2025-04-02,A社,tiktok,UGC風業態訴求,1988,1879,17,0,100000,5000
2025-04-02,A社,tiktok,季節訴求,601,489,3,0,100000,5000
2025-04-02,B社,google,【PMAX】メイン,8172,1426,68,2,800000,8000
2025-04-02,B社,google,【SEM】ブランド,3820,646,23,0,800000,8000
2025-04-02,B社,google,【SEM】車種,3321,617,28,0,800000,8000
2025-04-02,B社,google,【DSP】リターゲ,2357,433,21,0,800000,8000
2025-04-02,B社,google,【動画】月替わり,2049,403,15,0,800000,8000
2025-04-02,B社,yahoo,【検索】ブランド,1002,115,3,0,250000,8000
2025-04-02,B社,yahoo,【検索】車種,1785,222,6,1,250000,8000
2025-04-02,B社,yahoo,【検索】未使用車,1896,243,7,0,250000,8000
2025-04-02,B社,yahoo,【DSP】リターゲ,836,98,2,0,250000,8000
2025-04-02,B社,meta,【Instagram】リマケ,2576,1496,20,0,200000,8000
2025-04-02,B社,meta,【Facebook】新規,1794,991,14,0,200000,8000
2025-04-02,B社,meta,初売り企画,487,311,4,0,200000,8000
2025-04-02,B社,tiktok,UGC風業態訴求,1375,1295,12,0,80000,8000
2025-04-02,B社,tiktok,季節訴求,511,463,3,0,80000,8000
2025-04-02,C社,google,【PMAX】メイン,4427,833,34,1,600000,6000
2025-04-02,C社,google,【SEM】ブランド,2383,407,18,0,600000,6000
2025-04-02,C社,google,【SEM】車種,2290,373,19,0,600000,6000
2025-04-02,C社,google,【DSP】リターゲ,1584,306,14,1,600000,6000
2025-04-02,C社,google,【動画】月替わり,1013,198,7,0,600000,6000
2025-04-02,C社,yahoo,【検索】ブランド,760,90,2,0,180000,6000
2025-04-02,C社,yahoo,【検索】車種,1357,149,3,0,180000,6000
2025-04-02,C社,yahoo,【検索】未使用車,1007,122,3,0,180000,6000
2025-04-02,C社,yahoo,【DSP】リターゲ,507,63,1,0,180000,6000
2025-04-02,C社,meta,【Instagram】リマケ,1512,838,8,0,150000,6000
2025-04-02,C社,meta,【Facebook】新規,921,556,7,0,150000,6000
2025-04-02,C社,meta,初売り企画,269,152,1,0,150000,6000
2025-04-02,C社,tiktok,UGC風業態訴求,793,781,6,0,50000,6000
2025-04-02,C社,tiktok,季節訴求,218,184,1,0,50000,6000
2025-04-02,D社,google,【PMAX】メイン,17709,2877,131,10,1500000,4000
2025-04-02,D社,google,【SEM】ブランド,9831,1637,84,3,1500000,4000
2025-04-02,D社,google,【SEM】車種,11466,2094,93,3,1500000,4000
2025-04-02,D社,google,【DSP】リターゲ,8174,1464,74,1,1500000,4000
2025-04-02,D社,google,【動画】月替わり,4497,830,30,0,1500000,4000
2025-04-02,D社,yahoo,【検索】ブランド,3076,373,10,0,500000,4000
2025-04-02,D社,yahoo,【検索】車種,6207,788,21,0,500000,4000
2025-04-02,D社,yahoo,【検索】未使用車,5080,602,20,1,500000,4000
2025-04-02,D社,yahoo,【DSP】リターゲ,2663,334,11,1,500000,4000
2025-04-02,D社,meta,【Instagram】リマケ,6900,3900,49,1,400000,4000
2025-04-02,D社,meta,【Facebook】新規,4317,2421,24,0,400000,4000
2025-04-02,D社,meta,初売り企画,1170,694,8,0,400000,4000
2025-04-02,D社,tiktok,UGC風業態訴求,3625,3087,26,0,150000,4000
2025-04-02,D社,tiktok,季節訴求,1271,1187,11,0,150000,4000
2025-04-02,E社,google,【PMAX】メイン,2498,460,22,0,400000,10000
2025-04-02,E社,google,【SEM】ブランド,1137,221,11,0,400000,10000
2025-04-02,E社,google,【SEM】車種,1089,188,9,0,400000,10000
2025-04-02,E社,google,【DSP】リターゲ,895,167,8,0,400000,10000
2025-04-02,E社,google,【動画】月替わり,604,99,3,0,400000,10000
2025-04-02,E社,yahoo,【検索】ブランド,356,41,1,0,120000,10000
2025-04-02,E社,yahoo,【検索】車種,650,84,3,0,120000,10000
2025-04-02,E社,yahoo,【検索】未使用車,507,55,1,0,120000,10000
2025-04-02,E社,yahoo,【DSP】リターゲ,246,30,0,0,120000,10000
2025-04-02,E社,meta,【Instagram】リマケ,830,457,5,0,100000,10000
2025-04-02,E社,meta,【Facebook】新規,503,312,4,0,100000,10000
2025-04-02,E社,meta,初売り企画,144,89,0,0,100000,10000
2025-04-02,E社,tiktok,UGC風業態訴求,386,368,3,0,30000,10000
2025-04-02,E社,tiktok,季節訴求,107,93,0,0,30000,10000
2025-04-02,F社,google,【PMAX】メイン,8678,1566,84,2,900000,7000
2025-04-02,F社,google,【SEM】ブランド,3836,671,33,0,900000,7000
2025-04-02,F社,google,【SEM】車種,5069,858,39,0,900000,7000
2025-04-02,F社,google,【DSP】リターゲ,2918,574,26,0,900000,7000
2025-04-02,F社,google,【動画】月替わり,2110,383,17,0,900000,7000
2025-04-02,F社,yahoo,【検索】ブランド,1376,181,6,1,300000,7000
2025-04-02,F社,yahoo,【検索】車種,2742,343,10,1,300000,7000
2025-04-02,F社,yahoo,【検索】未使用車,2587,340,9,0,300000,7000
2025-04-02,F社,yahoo,【DSP】リターゲ,1179,152,5,0,300000,7000
2025-04-02,F社,meta,【Instagram】リマケ,3351,2127,24,0,250000,7000
2025-04-02,F社,meta,【Facebook】新規,2584,1552,21,0,250000,7000
2025-04-02,F社,meta,初売り企画,611,351,4,0,250000,7000
2025-04-02,F社,tiktok,UGC風業態訴求,1802,1618,11,0,80000,7000
2025-04-02,F社,tiktok,季節訴求,498,453,3,0,80000,7000
2025-04-02,G社,google,【PMAX】メイン,12475,2165,85,4,1100000,5500
2025-04-02,G社,google,【SEM】ブランド,6485,1060,52,1,1100000,5500
2025-04-02,G社,google,【SEM】車種,7277,1279,61,2,1100000,5500
2025-04-02,G社,google,【DSP】リターゲ,4011,722,33,0,1100000,5500
2025-04-02,G社,google,【動画】月替わり,3701,658,29,0,1100000,5500
2025-04-02,G社,yahoo,【検索】ブランド,2090,261,7,0,350000,5500
2025-04-02,G社,yahoo,【検索】車種,4227,490,15,0,350000,5500
2025-04-02,G社,yahoo,【検索】未使用車,3511,451,15,1,350000,5500
2025-04-02,G社,yahoo,【DSP】リターゲ,1712,220,5,0,350000,5500
2025-04-02,G社,meta,【Instagram】リマケ,4055,2497,35,0,280000,5500
2025-04-02,G社,meta,【Facebook】新規,3407,2145,25,1,280000,5500
2025-04-02,G社,meta,初売り企画,745,458,6,0,280000,5500
2025-04-02,G社,tiktok,UGC風業態訴求,2676,2502,23,0,120000,5500
2025-04-02,G社,tiktok,季節訴求,988,852,6,1,120000,5500
2025-04-02,H社,google,【PMAX】メイン,5099,923,42,1,700000,9000
2025-04-02,H社,google,【SEM】ブランド,3003,553,22,0,700000,9000
2025-04-02,H社,google,【SEM】車種,2681,478,19,1,700000,9000
2025-04-02,H社,google,【DSP】リターゲ,2355,438,17,0,700000,9000
2025-04-02,H社,google,【動画】月替わり,1432,262,12,0,700000,9000
2025-04-02,H社,yahoo,【検索】ブランド,839,95,3,0,200000,9000
2025-04-02,H社,yahoo,【検索】車種,1383,168,5,0,200000,9000
2025-04-02,H社,yahoo,【検索】未使用車,1208,158,5,0,200000,9000
2025-04-02,H社,yahoo,【DSP】リターゲ,691,75,2,0,200000,9000
2025-04-02,H社,meta,【Instagram】リマケ,2121,1375,15,0,180000,9000
2025-04-02,H社,meta,【Facebook】新規,1473,902,10,1,180000,9000
2025-04-02,H社,meta,初売り企画,402,246,3,0,180000,9000
2025-04-02,H社,tiktok,UGC風業態訴求,1029,955,8,0,60000,9000
2025-04-02,H社,tiktok,季節訴求,361,334,2,0,60000,9000
2025-04-03,A社,google,【PMAX】メイン,12989,2375,116,5,1200000,5000
2025-04-03,A社,google,【SEM】ブランド,5654,942,43,2,1200000,5000
2025-04-03,A社,google,【SEM】車種,7024,1368,69,2,1200000,5000
2025-04-03,A社,google,【DSP】リターゲ,5320,1004,42,0,1200000,5000
2025-04-03,A社,google,【動画】月替わり,3963,662,35,0,1200000,5000
2025-04-03,A社,yahoo,【検索】ブランド,2571,322,11,0,400000,5000
2025-04-03,A社,yahoo,【検索】車種,4414,478,14,0,400000,5000
2025-04-03,A社,yahoo,【検索】未使用車,3660,454,14,1,400000,5000
2025-04-03,A社,yahoo,【DSP】リターゲ,1601,173,5,0,400000,5000
2025-04-03,A社,meta,【Instagram】リマケ,4873,3166,33,1,300000,5000
2025-04-03,A社,meta,【Facebook】新規,2646,1690,23,0,300000,5000
2025-04-03,A社,meta,初売り企画,818,482,4,0,300000,5000
2025-04-03,A社,tiktok,UGC風業態訴求,2466,2132,17,0,100000,5000
2025-04-03,A社,tiktok,季節訴求,809,675,5,0,100000,5000
2025-04-03,B社,google,【PMAX】メイン,7877,1486,78,2,800000,8000
2025-04-03,B社,google,【SEM】ブランド,3459,572,25,0,800000,8000
2025-04-03,B社,google,【SEM】車種,4478,730,31,1,800000,8000
2025-04-03,B社,google,【DSP】リターゲ,2429,453,20,0,800000,8000
2025-04-03,B社,google,【動画】月替わり,1888,332,13,0,800000,8000
2025-04-03,B社,yahoo,【検索】ブランド,1093,140,4,0,250000,8000
2025-04-03,B社,yahoo,【検索】車種,1847,234,6,0,250000,8000
2025-04-03,B社,yahoo,【検索】未使用車,1885,206,6,0,250000,8000
2025-04-03,B社,yahoo,【DSP】リターゲ,877,97,3,0,250000,8000
2025-04-03,B社,meta,【Instagram】リマケ,2307,1483,15,0,200000,8000
2025-04-03,B社,meta,【Facebook】新規,1534,874,9,0,200000,8000
2025-04-03,B社,meta,初売り企画,517,280,2,0,200000,8000
2025-04-03,B社,tiktok,UGC風業態訴求,1608,1371,10,0,80000,8000
2025-04-03,B社,tiktok,季節訴求,427,402,3,0,80000,8000
2025-04-03,C社,google,【PMAX】メイン,5111,915,45,1,600000,6000
2025-04-03,C社,google,【SEM】ブランド,2556,418,20,0,600000,6000
2025-04-03,C社,google,【SEM】車種,2522,450,24,0,600000,6000
2025-04-03,C社,google,【DSP】リターゲ,1852,332,17,0,600000,6000
2025-04-03,C社,google,【動画】月替わり,1095,201,7,0,600000,6000
2025-04-03,C社,yahoo,【検索】ブランド,701,86,2,0,180000,6000
2025-04-03,C社,yahoo,【検索】車種,1297,158,3,0,180000,6000
2025-04-03,C社,yahoo,【検索】未使用車,1247,154,5,0,180000,6000
2025-04-03,C社,yahoo,【DSP】リターゲ,518,60,1,0,180000,6000
2025-04-03,C社,meta,【Instagram】リマケ,1679,925,10,1,150000,6000
2025-04-03,C社,meta,【Facebook】新規,1150,672,6,0,150000,6000
2025-04-03,C社,meta,初売り企画,353,193,2,0,150000,6000
2025-04-03,C社,tiktok,UGC風業態訴求,687,568,4,0,50000,6000
2025-04-03,C社,tiktok,季節訴求,265,243,1,0,50000,6000
2025-04-03,D社,google,【PMAX】メイン,19607,3262,138,9,1500000,4000
2025-04-03,D社,google,【SEM】ブランド,10437,2054,96,3,1500000,4000
2025-04-03,D社,google,【SEM】車種,11129,1888,90,4,1500000,4000
2025-04-03,D社,google,【DSP】リターゲ,7310,1384,64,1,1500000,4000
2025-04-03,D社,google,【動画】月替わり,6001,1182,59,0,1500000,4000
2025-04-03,D社,yahoo,【検索】ブランド,3749,462,11,1,500000,4000
2025-04-03,D社,yahoo,【検索】車種,5736,716,19,0,500000,4000
2025-04-03,D社,yahoo,【検索】未使用車,4632,596,18,1,500000,4000
2025-04-03,D社,yahoo,【DSP】リターゲ,2336,294,7,0,500000,4000
2025-04-03,D社,meta,【Instagram】リマケ,7783,4521,51,1,400000,4000
2025-04-03,D社,meta,【Facebook】新規,5412,3427,42,1,400000,4000
2025-04-03,D社,meta,初売り企画,1269,693,7,1,400000,4000
2025-04-03,D社,tiktok,UGC風業態訴求,4222,3932,28,1,150000,4000
2025-04-03,D社,tiktok,季節訴求,1354,1204,8,0,150000,4000
2025-04-03,E社,google,【PMAX】メイン,2610,433,18,0,400000,10000
2025-04-03,E社,google,【SEM】ブランド,1206,197,8,0,400000,10000
2025-04-03,E社,google,【SEM】車種,1088,187,7,0,400000,10000
2025-04-03,E社,google,【DSP】リターゲ,761,143,5,0,400000,10000
2025-04-03,E社,google,【動画】月替わり,677,121,6,0,400000,10000
2025-04-03,E社,yahoo,【検索】ブランド,418,45,1,0,120000,10000
2025-04-03,E社,yahoo,【検索】車種,743,90,2,0,120000,10000
2025-04-03,E社,yahoo,【検索】未使用車,560,62,1,0,120000,10000
2025-04-03,E社,yahoo,【DSP】リターゲ,316,41,1,0,120000,10000
2025-04-03,E社,meta,【Instagram】リマケ,968,550,6,0,100000,10000
2025-04-03,E社,meta,【Facebook】新規,562,330,3,0,100000,10000
2025-04-03,E社,meta,初売り企画,152,88,0,0,100000,10000
2025-04-03,E社,tiktok,UGC風業態訴求,360,298,2,0,30000,10000
2025-04-03,E社,tiktok,季節訴求,114,107,0,0,30000,10000
2025-04-03,F社,google,【PMAX】メイン,10313,1758,67,3,900000,7000
2025-04-03,F社,google,【SEM】ブランド,4671,786,39,0,900000,7000
2025-04-03,F社,google,【SEM】車種,5338,1010,44,0,900000,7000
2025-04-03,F社,google,【DSP】リターゲ,3601,695,32,0,900000,7000
2025-04-03,F社,google,【動画】月替わり,2158,384,15,0,900000,7000
2025-04-03,F社,yahoo,【検索】ブランド,1541,168,5,0,300000,7000
2025-04-03,F社,yahoo,【検索】車種,3181,349,11,1,300000,7000
2025-04-03,F社,yahoo,【検索】未使用車,2565,308,9,0,300000,7000
2025-04-03,F社,yahoo,【DSP】リターゲ,1221,155,4,0,300000,7000
2025-04-03,F社,meta,【Instagram】リマケ,3585,2140,22,0,250000,7000
2025-04-03,F社,meta,【Facebook】新規,2094,1156,16,0,250000,7000
2025-04-03,F社,meta,初売り企画,656,410,4,0,250000,7000
2025-04-03,F社,tiktok,UGC風業態訴求,1491,1273,9,0,80000,7000
2025-04-03,F社,tiktok,季節訴求,555,465,3,0,80000,7000
2025-04-03,G社,google,【PMAX】メイン,12466,2202,92,5,1100000,5500
2025-04-03,G社,google,【SEM】ブランド,5494,908,43,1,1100000,5500
2025-04-03,G社,google,【SEM】車種,7489,1390,72,1,1100000,5500
2025-04-03,G社,google,【DSP】リターゲ,4384,765,40,1,1100000,5500
2025-04-03,G社,google,【動画】月替わり,3395,622,32,0,1100000,5500
2025-04-03,G社,yahoo,【検索】ブランド,2105,246,8,0,350000,5500
2025-04-03,G社,yahoo,【検索】車種,4188,521,15,0,350000,5500
2025-04-03,G社,yahoo,【検索】未使用車,3273,381,10,1,350000,5500
2025-04-03,G社,yahoo,【DSP】リターゲ,1668,189,4,0,350000,5500
2025-04-03,G社,meta,【Instagram】リマケ,4289,2750,27,1,280000,5500
2025-04-03,G社,meta,【Facebook】新規,3380,2164,29,0,280000,5500
2025-04-03,G社,meta,初売り企画,769,446,5,0,280000,5500
2025-04-03,G社,tiktok,UGC風業態訴求,2553,2241,15,0,120000,5500
2025-04-03,G社,tiktok,季節訴求,1035,988,6,0,120000,5500
2025-04-03,H社,google,【PMAX】メイン,5904,1043,50,1,700000,9000
2025-04-03,H社,google,【SEM】ブランド,3063,545,24,0,700000,9000
2025-04-03,H社,google,【SEM】車種,3460,618,31,2,700000,9000
2025-04-03,H社,google,【DSP】リターゲ,2191,377,16,0,700000,9000
2025-04-03,H社,google,【動画】月替わり,1805,345,17,0,700000,9000
2025-04-03,H社,yahoo,【検索】ブランド,807,91,2,1,200000,9000
2025-04-03,H社,yahoo,【検索】車種,1748,224,6,0,200000,9000
2025-04-03,H社,yahoo,【検索】未使用車,1265,164,4,1,200000,9000
2025-04-03,H社,yahoo,【DSP】リターゲ,669,77,1,0,200000,9000
2025-04-03,H社,meta,【Instagram】リマケ,1939,1164,12,0,180000,9000
2025-04-03,H社,meta,【Facebook】新規,1636,957,9,0,180000,9000
2025-04-03,H社,meta,初売り企画,460,294,3,1,180000,9000
2025-04-03,H社,tiktok,UGC風業態訴求,1107,923,6,0,60000,9000
2025-04-03,H社,tiktok,季節訴求,359,299,2,0,60000,9000
2025-04-04,A社,google,【PMAX】メイン,13694,2220,83,6,1200000,5000
2025-04-04,A社,google,【SEM】ブランド,7037,1273,48,1,1200000,5000
2025-04-04,A社,google,【SEM】車種,6883,1126,49,1,1200000,5000
2025-04-04,A社,google,【DSP】リターゲ,5747,1054,38,0,1200000,5000
2025-04-04,A社,google,【動画】月替わり,3377,564,24,0,1200000,5000
2025-04-04,A社,yahoo,【検索】ブランド,2524,287,8,0,400000,5000
2025-04-04,A社,yahoo,【検索】車種,3716,448,13,1,400000,5000
2025-04-04,A社,yahoo,【検索】未使用車,3719,436,12,0,400000,5000
2025-04-04,A社,yahoo,【DSP】リターゲ,1564,198,5,0,400000,5000
2025-04-04,A社,meta,【Instagram】リマケ,5384,3313,44,0,300000,5000
2025-04-04,A社,meta,【Facebook】新規,3428,1988,19,0,300000,5000
2025-04-04,A社,meta,初売り企画,928,591,6,0,300000,5000
2025-04-04,A社,tiktok,UGC風業態訴求,2479,2215,19,0,100000,5000
2025-04-04,A社,tiktok,季節訴求,834,684,6,0,100000,5000
2025-04-04,B社,google,【PMAX】メイン,7781,1342,49,4,800000,8000
2025-04-04,B社,google,【SEM】ブランド,3750,741,33,1,800000,8000
2025-04-04,B社,google,【SEM】車種,4463,753,31,1,800000,8000
2025-04-04,B社,google,【DSP】リターゲ,2576,451,23,0,800000,8000
2025-04-04,B社,google,【動画】月替わり,2320,408,21,0,800000,8000
2025-04-04,B社,yahoo,【検索】ブランド,1295,155,5,0,250000,8000
2025-04-04,B社,yahoo,【検索】車種,1982,242,8,0,250000,8000
2025-04-04,B社,yahoo,【検索】未使用車,1840,202,6,0,250000,8000
2025-04-04,B社,yahoo,【DSP】リターゲ,1028,119,2,0,250000,8000
2025-04-04,B社,meta,【Instagram】リマケ,3168,1844,26,1,200000,8000
2025-04-04,B社,meta,【Facebook】新規,1692,1112,15,0,200000,8000
2025-04-04,B社,meta,初売り企画,452,278,3,0,200000,8000
2025-04-04,B社,tiktok,UGC風業態訴求,1696,1581,14,1,80000,8000
2025-04-04,B社,tiktok,季節訴求,535,508,3,0,80000,8000
2025-04-04,C社,google,【PMAX】メイン,4357,827,35,0,600000,6000
2025-04-04,C社,google,【SEM】ブランド,2499,490,20,0,600000,6000
2025-04-04,C社,google,【SEM】車種,2694,487,21,0,600000,6000
2025-04-04,C社,google,【DSP】リターゲ,1975,355,15,0,600000,6000
2025-04-04,C社,google,【動画】月替わり,1223,209,9,0,600000,6000
2025-04-04,C社,yahoo,【検索】ブランド,908,104,3,1,180000,6000
